prawn_id;wet_weight(g);dry_weight(g);eggs;carapace(cm);total_length(cm);replicate;site;sample;month;year
B125064;0.15;0.03;0;6;31;1;B;2;june;2025
B125065;0.09;0.00;0;4;23;1;B;2;june;2025
B225061;2.53;0.73;0;11;65;2;B;2;june;2025
B225062;0.45;0.08;0;10;35;2;B;2;june;2025
B225063;0.49;0.09;0;9;37;2;B;2;june;2025
B225064;0.31;0.03;0;7;30;2;B;2;june;2025
B225065;0.13;0.00;0;6;25;2;B;2;june;2025
B225066;0.04;0.00;0;5;15;2;B;2;june;2025
B325061;0.83;0.10;0;11;45;3;B;2;june;2025
B325062;1.23;0.25;0;11;55;3;B;2;june;2025
B325063;0.08;0.00;0;5;23;3;B;2;june;2025
B325064;1.03;0.21;0;10;55;3;B;2;june;2025
C125061;4.20;1.17;0;18;85;1;C;2;june;2025
C125062;0.80;0.17;0;11;43;1;C;2;june;2025
C125063;0.37;0.05;0;9;34;1;C;2;june;2025
C125064;0.19;0.00;0;8;24;1;C;2;june;2025
C125065;0.15;0.00;0;4;25;1;C;2;june;2025
C125066;0.13;0.00;0;5;21;1;C;2;june;2025
C125067;0.06;0.00;0;3;17;1;C;2;june;2025
C225061;2.55;0.45;0;20;72;2;C;2;june;2025
C225062;0.29;0.00;0;8;31;2;C;2;june;2025
C325061;0.29;0.00;0;6;26;3;C;2;june;2025
C325062;0.51;0.05;0;11;36;3;C;2;june;2025
C325063;0.10;0.00;0;4;20;3;C;2;june;2025
A126071;0.26;0.05;0;13;30;1;A;3;july;2025
A126072;1.05;0.17;0;15;48;1;A;3;july;2025
A126073;2.20;0.54;0;22;57;1;A;3;july;2025
A126074;3.94;1.17;0;25;65;1;A;3;july;2025
A126075;0.48;0.07;0;11;35;1;A;3;july;2025
A126076;0.12;0.00;0;7;18;1;A;3;july;2025
A226071;1.55;0.32;0;20;60;2;A;3;july;2025
A226072;0.81;0.16;0;16;50;2;A;3;july;2025
A226073;0.07;0.00;0;7;20;2;A;3;july;2025
A226074;0.30;0.05;0;12;32;2;A;3;july;2025
A226075;0.30;0.03;0;10;31;2;A;3;july;2025
A226076;0.13;0.00;0;13;35;2;A;3;july;2025
A326071;1.30;0.25;0;18;47;3;A;3;july;2025
A326072;0.58;0.08;0;16;;3;A;3;july;2025
A326073;0.33;0.04;0;15;38;3;A;3;july;2025
A326074;0.13;0.00;0;14;27;3;A;3;july;2025
B126071;0.86;0.10;0;18;36;1;B;3;july;2025
B126072;0.53;0.11;0;13;39;1;B;3;july;2025
B126073;1.24;0.23;120;13;49;1;B;3;july;2025
B226071;0.85;0.19;0;15;46;2;B;3;july;2025
B226072;0.92;0.21;0;13;44;2;B;3;july;2025
B226073;0.62;0.13;0;15;39;2;B;3;july;2025
B226074;0.19;0.03;0;7;26;2;B;3;july;2025
B226075;0.23;0.03;0;6;24;2;B;3;july;2025
B226076;0.07;0.10;0;4;15;2;B;3;july;2025
B326071;0.52;0.00;0;10;35;3;B;3;july;2025
B326072;0.33;0.03;0;10;30;3;B;3;july;2025
C127071;2.39;0.44;0;24;62;1;C;3;july;2025
C227071;0.16;0.02;0;7;20;2;C;3;july;2025
C227072;0.06;0.00;0;4;15;2;C;3;july;2025
C227073;0.05;0.00;0;5;15;2;C;3;july;2025
C327071;0.07;0.00;0;4;16;3;C;3;july;2025
C327072;0.04;0.00;0;4;17;3;C;3;july;2025
A119091;2.66;0.37;0;15;;1;A;4;september;2025
A119092;1.46;0.45;0;13;;1;A;4;september;2025
A219091;0.21;0.02;0;9;;2;A;4;september;2025
A219092;2.69;0.50;0;11;60;2;A;4;september;2025
A219093;1.36;0.15;0;12;45;2;A;4;september;2025
A319091;0.34;0.04;0;10;;3;A;4;september;2025
A319092;0.34;0.00;0;9;30;3;A;4;september;2025
A319093;0.36;0.02;0;8;32;3;A;4;september;2025
A319094;0.05;0.00;0;4;16;3;A;4;september;2025
A319095;0.29;0.00;0;3;27;3;A;4;september;2025
A319096;0.25;0.00;0;5;28;3;A;4;september;2025
A319097;1.75;0.41;0;13;55;3;A;4;september;2025
A319098;1.82;0.29;0;18;58;3;A;4;september;2025
A319099;2.17;0.44;0;18;60;3;A;4;september;2025
B119091;0.77;0.15;72;9;40;1;B;4;september;2025
B119092;1.05;0.18;0;8;49;1;B;4;september;2025
B119093;0.64;0.11;0;7;37;1;B;4;september;2025
B119094;0.17;0.00;0;5;25;1;B;4;september;2025
B219091;1.39;0.27;0;12;55;2;B;4;september;2025
B219092;1.23;0.24;0;11;54;2;B;4;september;2025
B219093;0.83;0.15;0;14;;2;B;4;september;2025
B219094;0.63;0.16;0;10;;2;B;4;september;2025
B219095;0.28;0.00;0;8;28;2;B;4;september;2025
B319091;1.81;0.39;0;17;61;3;B;4;september;2025
B319092;1.07;0.19;0;10;49;3;B;4;september;2025
B319093;0.05;0.00;0;4;19;3;B;4;september;2025
B319094;0.09;0.00;0;5;20;3;B;4;september;2025
B319095;0.06;0.00;0;4;18;3;B;4;september;2025
B319096;0.58;0.10;0;9;39;3;B;4;september;2025
C119091;2.41;0.90;0;21;66;1;C;4;september;2025
C119092;2.68;0.57;0;16;;1;C;4;september;2025
C119093;1.21;0.23;0;15;;1;C;4;september;2025
C119094;1.77;0.50;0;18;57;1;C;4;september;2025
C119095;0.75;0.11;0;11;40;1;C;4;september;2025
C119096;0.80;0.12;0;9;38;1;C;4;september;2025
C119097;0.70;0.09;0;8;35;1;C;4;september;2025
C119098;0.23;0.00;0;6;30;1;C;4;september;2025
C119099;0.19;0.00;0;5;25;1;C;4;september;2025
C1190910;0.13;0.00;0;4;21;1;C;4;september;2025
C1190911;0.10;0.00;0;3;20;1;C;4;september;2025
C1190912;0.07;0.00;0;3;18;1;C;4;september;2025
C219091;0.31;0.03;0;10;30;2;C;4;september;2025
C319091;0.44;0.09;0;12;33;3;C;4;september;2025
C319092;0.06;0.00;0;4;20;3;C;4;september;2025
C319093;0.31;0.04;0;5;33;3;C;4;september;2025
A130101;0.09;0.00;0;4;18;1;A;5;october;2025
A130102;0.73;0.10;0;11;40;1;A;5;october;2025
A130103;1.77;0.24;0;19;53;1;A;5;october;2025
A130104;2.04;0.37;0;20;56;1;A;5;october;2025
A230101;5.89;1.15;0;19;78;2;A;5;october;2025
A230102;3.32;0.80;0;16;68;2;A;5;october;2025
A230103;2.94;0.45;0;14;60;2;A;5;october;2025
A230104;2.60;0.38;0;12;58;2;A;5;october ;2025
A230105;2.40;0.32;0;12;57;2;A;5;october;2025
A230106;1.20;0.21;0;10;40;2;A;5;october;2025
A230107;0.75;0.04;0;9;40;2;A;5;october;2025
A230108;0.19;0.00;0;6;28;2;A;5;october;2025
A230109;0.06;0.00;0;3;18;2;A;5;october;2025
A2301010;0.13;0.00;0;4;22;2;A;5;october;2025
A330101;3.02;0.48;0;14;60;3;A;5;october;2025
A330102;3.78;0.66;0;15;64;3;A;5;october;2025
A330103;1.21;0.14;0;10;44;3;A;5;october;2025
A330104;0.63;0.07;0;9;40;3;A;5;october;2025
A330105;0.15;0.00;0;3;23;3;A;5;october;2025
B130101;2.49;0.45;0;14;56;1;B;5;october;2025
B130102;0.38;0.05;0;7;30;1;B;5;october;2025
B130103;0.13;0.00;0;4;20;1;B;5;october;2025
B130104;1.56;0.28;0;10;49;1;B;5;october;2025
B230101;0.34;0.03;0;9;29;2;B;5;october;2025
B230102;0.38;0.07;0;10;34;2;B;5;october;2025
B230103;0.06;0.00;0;5;17;2;B;5;october;2025
B230104;2.52;0.49;0;15;63;2;B;5;october;2025
B230105;1.18;0.13;0;13;50;2;B;5;october;2025
B330101;2.74;0.55;0;18;55;3;B;5;october;2025
B330102;1.42;0.19;0;11;48;3;B;5;october;2025
B330103;1.18;0.18;0;10;41;3;B;5;october;2025
B330104;0.83;0.13;0;9;43;3;B;5;october;2025
B330105;0.85;0.13;0;8;39;3;B;5;october;2025
B330106;0.43;0.05;0;5;31;3;B;5;october;2025
B330107;0.33;0.00;0;5;32;3;B;5;october;2025
B330108;0.79;0.09;0;10;;3;B;5;october;2025
B330109;0.59;0.08;0;8;;3;B;5;october;2025
B3301010;0.17;0.00;0;4;28;3;B;5;october;2025
B3301011;0.26;0.03;0;9;;3;B;5;october;2025
C130101;0.55;0.05;0;10;35;1;C;5;october;2025
C130102;0.88;0.10;0;11;42;1;C;5;october;2025
C130103;0.33;0.03;0;6;27;1;C;5;october;2025
C130104;0.26;0.02;0;5;26;1;C;5;october;2025
C130105;0.22;0.00;0;5;24;1;C;5;october;2025
C130106;0.08;0.00;0;5;20;1;C;5;october;2025
C230101;0.68;0.16;0;10;35;2;C;5;october;2025
C230102;0.50;0.07;0;8;33;2;C;5;october;2025
C230103;0.26;0.02;0;6;27;2;C;5;october;2025
C230104;0.19;0.00;0;4;24;2;C;5;october;2025
C230105;0.16;0.00;0;3;22;2;C;5;october;2025
C230106;0.27;0.03;0;6;26;2;C;5;october;2025
C230107;0.12;0.00;0;3;20;2;C;5;october;2025
C230108;0.14;0.00;0;2;18;2;C;5;october;2025
C330101;0.74;0.15;0;10;42;3;C;5;october;2025
C330102;0.25;0.05;0;8;;3;C;5;october;2025
C330103;0.95;0.14;0;10;40;3;C;5;october;2025
B102121;0.07;0.00;0;4;15;1;B;6;december;2025
B102122;0.37;0.09;0;10;;1;B;6;december;2025
B202121;1.44;0.28;0;10;45;2;B;6;december;2025
B202122;1.83;0.35;0;13;48;2;B;6;december;2025
B202123;0.24;0.03;0;5;28;2;B;6;december;2025
B302121;0.98;0.20;0;10;48;3;B;6;december;2025
C102121;0.46;0.09;0;10;34;1;C;6;december;2025
C202121;2.74;0.62;0;10;55;2;C;6;december;2025
C202122;1.57;0.31;0;15;58;2;C;6;december;2025
C202123;1.05;0.20;0;10;43;2;C;6;december;2025
C202124;1.29;0.21;0;10;48;2;C;6;december;2025
C302121;1.65;0.48;0;11;45;3;C;6;december;2025
C302122;0.71;0.17;0;9;43;3;C;6;december;2025
C302123;0.77;0.20;0;8;;3;C;6;december;2025
C302124;0.29;0.06;0;8;;3;C;6;december;2025
C302125;0.21;0.04;0;4;;3;C;6;december;2025
C302126;0.09;0.00;0;3;20;3;C;6;december;2025
A129011;0.27;0.03;0;7;30;1;A;7;january;2026
A129012;0.05;0.00;0;4;;1;A;7;january;2026
A229011;0.20;0.00;0;6;28;2;A;7;january;2026
A229012;0.07;0.00;0;5;20;2;A;7;january;2026
A329011;1.52;0.18;0;14;50;3;A;7;january;2026
A329012;1.26;0.18;0;13;45;3;A;7;january;2026
A329013;0.15;0.00;0;5;23;3;A;7;january;2026
A329014;0.20;0.00;0;7;26;3;A;7;january;2026
A329015;0.09;0.00;0;4;20;3;A;7;january;2026
B129011;0.90;0.13;0;10;45;1;B;7;january;2026
B229011;1.75;0.29;0;16;58;2;B;7;january;2026
B229012;1.11;0.17;0;15;47;2;B;7;january;2026
B229013;0.19;0.02;0;4;24;2;B;7;january;2026
B329011;1.28;0.21;0;15;48;3;B;7;january;2026
B329012;0.337;0.05;0;10;33;3;B;7;january;2026
B329013;0.38;0.05;0;8;30;3;B;7;january;2026
B329014;0.13;0.00;0;5;20;3;B;7;january;2026
B329015;0.20;0.00;0;6;27;3;B;7;january;2026
B329016;0.09;0.00;0;6;;3;B;7;january;2026
C129011;0.11;0.00;0;4;21;1;C;7;january;2026
C129012;1.12;0.13;0;15;50;1;C;7;january;2026
C229011;0.07;0.00;0;3;18;2;C;7;january;2026
C329011;0.49;0.18;0;11;32;3;C;7;january;2026
C329012;0.89;0.00;0;18;;3;C;7;january;2026
C329013;0.25;0.00;0;8;24;3;C;7;january;2026
C329014;0.11;0.00;0;5;22;3;C;7;january;2026
A128021;0.06;0.00;0;3;15;1;A;8;february;2026
A228021;0.84;0.14;0;10;40;2;A;8;february;2026
A228022;0.16;0.00;0;6;20;2;A;8;february;2026
A228023;0.23;0.43;0;7;25;2;A;8;february;2026
A228024;0.15;0.00;0;5;22;2;A;8;february;2026
A328021;1.42;0.29;0;15;51;3;A;8;february;2026
A328022;1.99;0.45;0;20;57;3;A;8;february;2026
B128021;0.88;0.17;60;10;43;1;B;8;february ;2026
B228021;0.33;0.05;0;8;32;2;B;8;february;2026
B228022;0.13;0.00;0;6;24;2;B;8;february ;2026
B228023;0.06;0.00;0;3;19;2;B;8;february;2026
B328021;1.43;0.23;0;16;50;3;B;8;february;2026
B328022;1.75;0.29;0;18;53;3;B;8;february;2026
B328023;1.63;0.26;0;16;51;3;B;8;february;2026
C128021;2.51;0.54;0;20;60;1;C;8;february;2026
C128022;0.27;0.03;0;7;;1;C;8;february;2026
C128023;0.18;0.00;0;6;27;1;C;8;february;2026
C228021;1.45;0.19;0;11;47;2;C;8;february;2026
C228022;0.37;0.05;0;8;32;2;C;8;february;2026
C328021;0.05;0.00;0;3;16;3;C;8;february;2026
